INECode,IdescatCode,Municipality,brand,province,x,y,beds,beds_by_apartment,Population,Income_Household,Income_Person,Perc_Foreing,Perc_Older65,Rental2020,Rental2019,Rental2018,Rental2017,Rental2016,Rental2015,rental_incr,Perc_TuristicHouseholds_INE,TuristicHousehold,SUP_MUNI,ORSUP_MUNI,airbnb,total_homesCat2011,DataHippo_numAirbnb_10m,perc_AirbnbOk
8015,080155,Badalona,Barcelona,Barcelona,436631.754035793,4589714.2871661,851.00,3.62,223166.00,30705.00,11495.00,18.73,18.50,736.78,719.33,688.56,638.24,580.08,549.16,34.16,0.25,235.00,"21,18",B,464,81793,494,0.60
8019,080193,Barcelona,Barcelona,Barcelona,425018.239676472,4589714.2871661,61.689.00,3.57,1664182.00,37881.00,15755.00,27.76,21.60,964.81,978.81,929.57,877.28,801.28,734.94,31.28,2.13,17280.00,"101,64",B,27461,684078,31898,4.66
8101,081017,"Hospitalet de Llobregat, L'",Barcelona,Barcelona,425018.239676472,4578100.77280678,3.104.00,3.37,269382.00,28985.00,10917.00,32.37,20.30,702.84,697.24,653.27,608.25,554.74,521.68,34.73,0.82,921.00,"12,48",B,1221,102031,1377,1.35
8194,081944,Sant Adrià de Besòs,Barcelona,Barcelona,430824.996856133,4583907.52998644,822.00,5.20,37447.00,28845.00,10466.00,19.09,17.00,744.87,713.95,699.57,654.08,588.46,559.15,33.21,01.08,158.00,"3,96",B,194,13034,223,1.71
8245,082457,Santa Coloma de Gramenet,Barcelona,Barcelona,430824.996856133,4589714.2871661,136.00,2.31,120443.00,27520.00,9910.00,27.17,19.60,614.53,614.78,583.95,529.14,505.82,483.28,27.16,0.12,59.00,7,B,106,45646,111,0.24
8001,080018,Abrera,Costa Barcelona,Barcelona,378564.182239188,4630361.58742373,52.00,4.00,12538.00,36568.00,13318.00,10.38,14.90,695.85,655.76,687.25,613.69,603.94,558.08,24.69,0.25,13.00,"19,98",B,14,4450,21,0.47
8014,080142,Aiguafreda,Costa Barcelona,Barcelona,413404.725317151,4641975.10178305,29.00,7.25,2512.00,34366.00,13863.00,7.60,22.00,607.16,505.19,522.56,470.31,443.05,418.13,45.21,0.3,4.00,"7,88",B,1,930,1,0.11
8003,080039,Alella,Costa Barcelona,Barcelona,390177.696598509,4636168.34460339,352.00,7.33,9904.00,56250.00,19841.00,13.71,19.00,1149.68,1219.85,1071.34,1121.66,1025.99,1029.76,11.65,1.24,48.00,"9,58",B,58,3324,96,2.89
8005,080057,"Ametlla del Vallès, L'",Costa Barcelona,Barcelona,436631.754035793,4612941.31588475,41.00,5.86,8646.00,48534.00,16250.00,10.32,13.50,978.33,1036.94,950.23,917.33,851.81,808.97,20.94,0.21,7.00,"14,24",B,12,2726,22,0.81
8006,080060,Arenys de Mar,Costa Barcelona,Barcelona,425018.239676472,4630361.58742373,557.00,5.93,15941.00,32698.00,12969.00,16.72,20.00,694.96,659.39,636.02,573.18,551.53,545.76,27.34,1.11,94.00,"6,75",B,122,5995,193,3.22
8007,080076,Arenys de Munt,Costa Barcelona,Barcelona,459858.782754435,4607134.55870509,241.00,7.77,9121.00,33901.00,12638.00,9.90,16.50,645.22,618.70,607.09,568.35,509.56,519.83,24.12,0.72,31.00,"21,29",B,48,3192,92,2.88
8009,080095,Argentona,Costa Barcelona,Barcelona,448245.268395114,4601327.80152543,303.00,7.97,12536.00,38409.00,13638.00,7.61,16.40,767.00,747.45,754.79,685.80,637.94,584.14,31.30,0.7,38.00,"25,4",B,46,4102,75,1.83
8013,080137,Avinyonet del Penedès,Costa Barcelona,Barcelona,395984.45377817,4578100.77280678,26.00,4.33,1697.00,34044.00,13071.00,12.61,19.90,639.17,464.80,630.36,494.69,438.13,453.17,41.04,0.64,6.00,"29,13",B,18,648,28,4.32
8904,089045,Badia del Vallès,Costa Barcelona,Barcelona,419211.482496812,4601327.80152543,30.00,2.73,13415.00,26002.00,9951.00,09.04,20.20,281.55,271.86,315.27,274.64,247.23,208.35,35.13,0.19,11.00,"0,93",M,11,5277,13,0.25
8252,082520,Barberà del Vallès,Costa Barcelona,Barcelona,401791.21095783,4618748.07306441,57.00,4.75,33334.00,34751.00,12654.00,10.51,15.80,730.65,711.19,633.41,613.13,569.25,541.71,34.88,0.09,12.00,"8,3",B,20,12147,25,0.21
8020,080207,Begues,Costa Barcelona,Barcelona,401791.21095783,4572294.01562712,39.00,5.57,7300.00,47732.00,16074.00,10.10,12.60,921.05,992.21,863.74,910.91,731.65,841.67,9.43,0.24,7.00,"50,44",B,12,2263,15,0.66
8023,080235,Bigues i Riells,Costa Barcelona,Barcelona,384370.939418849,4653588.61614237,102.00,6.38,9358.00,37739.00,13418.00,7.25,14.90,728.97,781.18,735.41,686.06,652.32,594.15,22.69,0.36,16.00,"28,64",B,19,3218,26,0.81
8027,080272,"Cabanyes, Les",Costa Barcelona,Barcelona,378564.182239188,4583907.52998644,22.00,11.00,979.00,44041.00,14131.00,4.19,13.10,712.14,865.00,,600.00,,,NA,0.59,2.00,"1,15",B,2,,6,NA
8029,080291,Cabrera de Mar,Costa Barcelona,Barcelona,430824.996856133,4612941.31588475,168.00,6.00,4747.00,49577.00,17127.00,10.76,16.60,970.41,1138.33,912.04,876.31,800.07,748.64,29.62,1.24,28.00,"8,96",B,46,1606,79,4.92
8030,080305,Cabrils,Costa Barcelona,Barcelona,442438.511215454,4601327.80152543,515.00,8.31,7432.00,56356.00,18539.00,14.69,13.90,1298.04,1194.52,1178.01,1147.05,900.63,1014.18,27.99,02.01,62.00,"6,95",B,93,2423,185,7.64
8032,080327,Caldes d'Estrac,Costa Barcelona,Barcelona,454052.025574775,4607134.55870509,350.00,5.47,3021.00,36673.00,15063.00,21.95,17.70,926.54,764.52,787.74,734.29,637.15,680.34,36.19,3.3,64.00,"0,87",B,76,1226,106,8.65
8033,080333,Caldes de Montbui,Costa Barcelona,Barcelona,384370.939418849,4647781.85896271,109.00,6.81,17812.00,36567.00,13390.00,12.78,17.50,682.34,643.79,622.26,585.12,565.58,511.23,33.47,0.22,16.00,"37,45",B,21,6507,27,0.41
8035,080351,Calella,Costa Barcelona,Barcelona,471472.297113756,4607134.55870509,1.363.00,5.14,19277.00,28122.00,11071.00,25.11,18.90,586.23,552.88,515.33,490.31,459.21,454.00,29.13,2.5,265.00,8,B,332,7519,527,07.01
8039,080399,Campins,Costa Barcelona,Barcelona,454052.025574775,4624554.83024407,6.00,6.00,541.00,35921.00,14187.00,12.75,14.80,675.00,631.25,658.33,715.01,506.54,600.45,12.42,0.36,1.00,"7,29",B,3,,3,NA
8040,080403,Canet de Mar,Costa Barcelona,Barcelona,454052.025574775,4618748.07306441,796.00,5.53,14865.00,31895.00,12359.00,13.76,19.40,651.00,640.13,609.72,549.95,529.80,495.61,31.35,1.87,144.00,"5,57",B,142,5613,228,04.06
8041,080410,Canovelles,Costa Barcelona,Barcelona,419211.482496812,4624554.83024407,44.00,6.29,16829.00,30071.00,10181.00,26.44,15.30,598.33,574.79,550.52,475.73,474.13,411.86,45.28,0.11,7.00,"6,66",B,8,5584,14,0.25
8042,080425,Cànoves i Samalús,Costa Barcelona,Barcelona,442438.511215454,4618748.07306441,33.00,11.00,3156.00,36262.00,12779.00,7.51,17.10,826.84,867.24,867.65,735.08,660.42,697.29,18.58,0.21,3.00,"29,14",B,5,1042,7,0.67
8043,080431,Canyelles,Costa Barcelona,Barcelona,390177.696598509,4572294.01562712,457.00,7.88,4699.00,33556.00,12322.00,11.53,14.80,699.40,903.18,774.69,882.50,853.00,744.38,-6.04,2.42,58.00,"14,22",B,59,1528,123,08.05
8046,080462,Cardedeu,Costa Barcelona,Barcelona,442438.511215454,4612941.31588475,101.00,6.73,18424.00,37447.00,13640.00,10.62,15.10,696.54,681.31,643.63,615.64,565.75,529.90,31.45,0.2,15.00,"12,1",B,16,6490,27,0.42
8051,080517,Castellar del Vallès,Costa Barcelona,Barcelona,401791.21095783,4624554.83024407,163.00,6.52,24488.00,37568.00,13565.00,7.31,15.20,704.31,696.56,661.81,628.74,590.82,537.94,30.93,0.25,25.00,"44,92",B,31,8261,64,0.77
8054,080543,Castellbisbal,Costa Barcelona,Barcelona,401791.21095783,4607134.55870509,27.00,3.38,12539.00,38386.00,13238.00,09.02,13.00,708.28,749.63,666.51,640.51,614.64,602.31,17.59,0.15,8.00,"30,96",M,13,4254,13,0.31
8056,080569,Castelldefels,Costa Barcelona,Barcelona,407597.968137491,4572294.01562712,154.00,4.65,67460.00,45885.00,16555.00,27.33,14.20,1007.13,1001.65,919.90,913.77,843.97,805.65,25.01,01.03,331.00,"12,92",B,439,23397,588,2.51
8058,080581,Castellet i la Gornal,Costa Barcelona,Barcelona,384370.939418849,4566487.25844746,196.00,9.33,2382.00,29751.00,11868.00,10.54,19.90,617.55,610.42,622.86,637.67,501.81,420.19,46.97,1.6,21.00,"47,48",B,34,857,79,9.22
8065,080654,Castellví de la Marca,Costa Barcelona,Barcelona,378564.182239188,4578100.77280678,47.00,7.83,1575.00,32261.00,12024.00,8.57,21.80,515.00,527.65,460.83,535.63,489.29,401.43,28.29,0.85,6.00,"28,4",B,15,586,23,3.92
8066,080667,Castellví de Rosanes,Costa Barcelona,Barcelona,395984.45377817,4601327.80152543,21.00,5.25,1933.00,42048.00,14581.00,8.59,13.80,699.69,697.50,791.25,624.25,605.20,623.91,12.15,0.52,4.00,"16,38",B,5,579,6,01.04
8266,082665,Cerdanyola del Vallès,Costa Barcelona,Barcelona,425018.239676472,4595521.04434576,175.00,04.07,57855.00,38333.00,14326.00,13.84,18.30,766.31,773.11,723.35,698.95,643.88,618.06,23.99,0.17,43.00,"30,57",B,87,21316,93,0.44
8068,080689,Cervelló,Costa Barcelona,Barcelona,407597.968137491,4583907.52998644,71.00,6.45,9077.00,40847.00,14567.00,9.72,15.10,829.36,831.56,786.24,764.18,679.10,685.71,20.95,0.28,11.00,"24,1",B,8,3117,18,0.58
